variable,Amazon (Custom),Amazon (Stock),DeepL,Gemma-7B,Google,LLaMA-2-13B,LLaMA-2-7B,LLaMA-3-8B,Mistral-7B,Mixtral-8x7B
Mean,44.70931907707566,44.43831015249536,45.67617832279174,106.79872724126639,47.50124288556005,60.402970447997056,69.95252847419461,55.70030773752047,61.27141447213997,56.25094574155331
Median,44.4444444444444,43.75,45.7142857142857,103.361581920904,47.295321637426895,60.0,69.23076923076923,55.172413793103445,61.53846153846154,57.14285714285714
Q1,31.8181818181818,31.8181818181818,33.3333333333333,100.0,36.36363636363637,45.93486929552503,56.07317073170732,42.85714285714285,50.0,42.85714285714285
Q3,58.8903743315508,57.6923076923077,59.00349650349652,115.0,60.89607635206787,77.27272727272727,85.71428571428571,69.23076923076923,75.0,71.42857142857143
Whisker Low,0.0,0.0,0.0,77.5,0.0,0.0,11.611498257839742,3.296703296703278,12.5,0.0
Whisker High,99.49866310160431,96.50349650349656,97.50874125874135,137.5,97.69473633471513,124.27951423853062,130.1759581881533,108.79120879120879,112.5,114.2857142857143
